date,region,price_type,price_per_sqm,n_regions
2021-01-01,leiria,rental,5.8,1
2021-01-01,leiria,sale,1147,1
2021-01-01,lisboa,rental,13.1,1
2021-01-01,lisboa,sale,3362,1
2021-01-01,madeira,rental,8.2,1
2021-01-01,madeira,sale,1529.5,2
2021-01-01,portalegre,sale,634,1
2021-01-01,porto,rental,9.8,1
2021-01-01,porto,sale,2138,1
2021-01-01,portugal,rental,11.1,1
2021-01-01,portugal,sale,2131,1
2021-01-01,santarem,rental,5,1
2021-01-01,santarem,sale,793,1
2021-01-01,setubal,rental,8.5,1
2021-01-01,setubal,sale,1714,1
2021-01-01,viana-do-castelo,rental,5,1
2021-01-01,viana-do-castelo,sale,1014,1
2021-01-01,vila-real,sale,850,1
2021-01-01,viseu,rental,4.8,1
2021-01-01,viseu,sale,861,1
2021-02-01,aveiro,rental,7.1,1
2021-02-01,aveiro,sale,1282,1
2021-02-01,azores,rental,7.9,1
2021-02-01,azores,sale,955.75,4
2021-02-01,beja,sale,772,1
2021-02-01,braga,rental,6,1
2021-02-01,braga,sale,1087,1
2021-02-01,braganca,sale,779,1
2021-02-01,castelo-branco,rental,4.7,1
2021-02-01,castelo-branco,sale,700,1
2021-02-01,coimbra,rental,6.8,1
2021-02-01,coimbra,sale,1196,1
2021-02-01,evora,sale,883,1
2021-02-01,faro,rental,9,1
2021-02-01,faro,sale,2354,1
2021-02-01,guarda,sale,1151,1
2021-02-01,leiria,rental,5.9,1
2021-02-01,leiria,sale,1151,1
2021-02-01,lisboa,rental,13,1
2021-02-01,lisboa,sale,3356,1
2021-02-01,madeira,rental,8,1
2021-02-01,madeira,sale,1549.5,2
2021-02-01,portalegre,sale,629,1
2021-02-01,porto,rental,9.9,1
2021-02-01,porto,sale,2142,1
2021-02-01,portugal,rental,11.1,1
2021-02-01,portugal,sale,2123,1
2021-02-01,santarem,rental,5.1,1
2021-02-01,santarem,sale,796,1
2021-02-01,setubal,rental,8.5,1
2021-02-01,setubal,sale,1731,1
2021-02-01,viana-do-castelo,rental,5.2,1
2021-02-01,viana-do-castelo,sale,1020,1
2021-02-01,vila-real,sale,837,1
2021-02-01,viseu,rental,4.9,1
2021-02-01,viseu,sale,864,1
2021-03-01,aveiro,rental,6.9,1
2021-03-01,aveiro,sale,1293,1
2021-03-01,azores,rental,7.4,1
2021-03-01,azores,sale,980.75,4
2021-03-01,beja,sale,772,1
2021-03-01,braga,rental,6,1
2021-03-01,braga,sale,1110,1
2021-03-01,braganca,sale,772,1
2021-03-01,castelo-branco,rental,4.7,1
2021-03-01,castelo-branco,sale,711,1
2021-03-01,coimbra,rental,6.8,1
2021-03-01,coimbra,sale,1199,1
2021-03-01,evora,sale,884,1
2021-03-01,faro,rental,9.1,1
2021-03-01,faro,sale,2352,1
2021-03-01,guarda,sale,1162,1
2021-03-01,leiria,rental,5.7,1
2021-03-01,leiria,sale,1162,1
2021-03-01,lisboa,rental,12.9,1
2021-03-01,lisboa,sale,3392,1
2021-03-01,madeira,rental,8.2,1
2021-03-01,madeira,sale,1567.5,2
