date,aveiro_rental,aveiro_sale,azores_sale,beja_sale,braga_sale,braganca_sale,castelo-branco_sale,coimbra_sale,evora_sale,faro_rental,faro_sale,guarda_sale,leiria_rental,leiria_sale,lisboa_rental,lisboa_sale,madeira_sale,portalegre_sale,porto_rental,porto_sale,portugal_rental,portugal_sale,santarem_rental,santarem_sale,setubal_rental,setubal_sale,viana-do-castelo_sale,vila-real_sale,viseu_sale,braga_rental,castelo-branco_rental,coimbra_rental,madeira_rental,viana-do-castelo_rental,vila-real_rental,viseu_rental,beja_rental,guarda_rental,evora_rental,portalegre_rental,azores_rental
2021-04-01,6.8,1280,977.5,768,1124,765,717,1186,905,9.1,2368,1172,5.7,1172,12.8,3413,1562,619,9.8,2153,10.9,2153,4.8,796,8.4,1767,1032,849,867,6,4.9,7,8.1,5.4,4.5,5.1,NA,NA,7.9,NA,7.6
2021-05-01,6.8,1298,936.75,771,1125,738,715,1204,931,9.2,2372,1188,5.7,1188,12.8,3414,1557,614,9.9,2183,10.9,2159,5.1,799,8.5,1791,1040,867,841,5.9,5,7,7.9,5,4.3,5.3,NA,NA,7.2,NA,7.4
2021-06-01,6.8,1311,954.75,781,1134,744,707,1211,955,9.4,2400,1195,5.7,1195,12.8,3449,1570,608,9.9,2222,11,2180,5,805,8.5,1812,1051,864,844,6,5,7,7.8,5.3,4.6,5.4,NA,NA,7.8,NA,7
2021-07-01,6.7,1328,978,786,1144,746,721,1201,977,9.6,2434,1206,5.9,1206,12.7,3497,1577.5,602,9.9,2231,10.9,2205,5.1,813,8.5,1829,1073,909,832,6.1,5.1,7,7.9,5.4,4.6,5.3,NA,NA,8.2,NA,6.8
2021-08-01,6.7,1342,971.75,794,1148,744,735,1180,995,9.7,2465,1227,6,1227,12.7,3536,1594.5,597,10,2243,10.9,2224,5.1,831,8.5,1866,1067,921,840,6,5.3,7.1,8,5.8,4.7,5,NA,NA,7.6,NA,7
2021-09-01,6.8,1363,926.2,815,1160,758,726,1175,987,9.7,2508,1230,6,1230,12.7,3564,1613.5,597,9.9,2243,10.8,2230,5.2,835,8.6,1869,1063,919,860,6.1,6,7,8.1,6.2,4.8,4.7,NA,NA,7.8,NA,7.3
2021-10-01,6.9,1361,975,809,1184,762,716,1179,1045,9.8,2544,1237,6.1,1237,12.7,3615,1645.5,596,9.8,2251,10.8,2256,5.1,839,8.8,1897,1068,925,876,6.3,5.9,6.9,8.2,5.8,4.6,4.7,NA,NA,8.1,NA,6.2
2021-11-01,6.7,1363,981.25,819,1196,770,723,1189,1046,9.8,2564,1244,6.1,1244,12.7,3666,1662.5,601,9.8,2272,10.7,2285,5,846,8.7,1924,1072,914,880,6.3,5.9,6.8,8.2,5.7,4.7,4.7,NA,NA,7.6,NA,6.5
2021-12-01,6.7,1385,1115.6,841,1216,779,723,1200,1044,9.7,2579,1246,6.2,1246,12.7,3689,1657,606,9.8,2281,10.7,2292,5,840,8.8,1948,1075,901,868,6.3,5.8,7,8.6,6,4.6,4.7,NA,NA,NA,NA,6.7
2022-01-01,7,1410,1062.6666666666667,833,1239,783,710,1201,1028,9.9,2601,1259,6.3,1259,12.8,3677,1667.5,607,9.8,2285,10.8,2279,5.3,845,9,1970,1080,900,876,6.3,5.8,7,9.2,5.9,4.7,4.9,NA,NA,NA,NA,NA
2022-02-01,7,1426,1097,841,1242,764,708,1196,1064,9.8,2643,1260,6.3,1260,13,3719,1680.5,602,9.9,2304,10.9,2295,5.2,843,8.9,1985,1093,914,880,6.6,5.7,7.4,9.2,5.9,4.4,5,NA,NA,NA,NA,7.1
2022-03-01,6.9,1417,1093.6,830,1257,779,702,1210,1082,10,2664,1276,6.5,1276,13,3756,1730.5,584,10,2326,11,2315,5.3,854,9,2007,1087,917,879,6.7,5.5,7.4,9.5,6.3,4.5,5,NA,NA,NA,NA,7.2
2022-04-01,6.9,1467,1100.4,822,1266,790,694,1210,1087,10.4,2694,1307,6.6,1307,13.2,3744,1778.5,587,9.9,2337,11.1,2319,5.5,861,9,2029,1097,866,871,6.8,5.3,7.4,9.6,6.2,4.3,5.2,NA,NA,NA,NA,7
